paperid,author,title,year,journal,doi
401,Valimaki et al,Velocity of density shifts in finnish landbird species depends on their migration ecology and body mass,2016,Oecologia,10.1007/s00442-015-3525-x
402,Wu and Shi,Attribution index for changes in migratory bird distributions: the role of climate change over the past 50 years in china,2016,Ecological Informatics,10.1016/j.ecoinf.2015.11.013
404,Kuhn et al,Early signs of range disjunction of submountainous plant species: an unexplored consequence of future and contemporary climate changes,2016,Global Change Biology,10.1111/gcb.13243
405,Pernollet et al,Regional changes in the elevational distribution of the alpine rock ptarmigan lagopus muta helvetica in switzerland,2015,Ibis,10.1111/ibi.12298
406,Pyke et al,Effects of climate change on phenologies and distributions of bumble bees and the plants they visit,2016,Ecosphere,10.1002/ecs2.1267
407,Kuletz et al,Changes in the distribution and abundance of albatrosses in the eastern bering sea: 1975-2010,2014,Deep Sea Research Part II: Topical Studies in Oceanography,10.1016/j.dsr2.2014.05.006
408,Wells et al,"Range collapse in the diana fritillary, speyeria diana (nymphalidae)",2014,Insect Conservation and Diversity,10.1111/icad.12059
410,Landa et al,"Recruitment, distribution boundary and habitat temperature of an arcto-boreal gadoid in a climatically changing environment: a case study on northeast arctic haddock (melanogrammus aeglefinus)",2014,Fisheries Oceanography,10.1111/fog.12085
411,Merrill et al,Combined effects of climate and biotic interaction on the elevational range of a phytophagous insect,2008,Journal of Animal Ecology,10.1111/j.1365-2656.2007.01303.x
413,Monahan and Hijmans,Ecophysiological constraints shape autumn migratory response to climate change in the north american field sparrow,2008,Biology Letters,10.1098/rsbl.2008.0154
414,Massimino et al,The geographical range of british birds expands during 15 years of warming,2015,Bird Study,10.1080/00063657.2015.1089835
415,Riley et al,Range expansion of aratus pisonii (mangrove tree crab) into novel vegetative habitats,2014,Southeastern Naturalist,10.1656/058.013.0405
418,Hsieh et al,Climate-driven changes in abundance and distribution of larvae of oceanic fishes in the southern california region,2009,Global Change Biology,10.1111/j.1365-2486.2009.01875.x
420,Kerby et al,Wondering about wandering whiting: distribution of north sea whiting between the 1920s and 2000s,2013,Fisheries Research,10.1016/j.fishres.2013.02.012
421,Dou et al,Climate change impacts population dynamics and distribution shift of moose (alces alces) in heilongjiang province of china,2013,Ecological Research,10.1007/s11284-013-1054-9
423,Gutierrez et al,Functional traits help to explain half-century long shifts in pollinator distributions,2016,Scientific Reports,10.1038/srep24451
424,Ambrosini et al,Climate change and the long-term northward shift in the african wintering range of the barn swallow hirundo rustica,2011,Climate Research,10.3354/cr01025
425,Perissinotto et al,Southward expansion in beetle and butterfly ranges in south africa,2011,African Entomology,n/a
431,Overholtz et al,Impacts of interannual environmental forcing and climate change on the distribution of atlantic mackeral on the u.s. northeast continental shelf,2011,Marine and Coastal Fisheries,10.1080/19425120.2011.578485
432,Moret et al,Climate warming effects in the tropical andes: first evidence for upslope shifts of carabidae (coleoptera) in ecuador,2016,Insect Conservation and Diversity,10.1111/icad.12173
433,Martinet et al,Forward to the north: two euro-mediterranean bumblebee species now cross the arctic circle,2015,Annales De La Societe Entomologique De France,n/a
434,Leidenberger et al,Ecology and distribution of the isopod genus idotea in the baltic sea: key species in a changing environment,2012,Journal of Crustacean Biology,10.1163/193724012X626485
436,Weinberg,Bathymetric shift in the distribution of atlantic surfclams: response to warmer ocean temperature,2005,Ices Journal of Marine Science,10.1016/j.icesjms.2005.04.020
437,Juvik et al,"The upper limits of vegetation of mauna loa, hawaii: a 50th anniversary reassessment",2011,Ecology,10.1890/10-0341.1
439,Ash et al,Tracking lags in historical plants species' shifts in relation to regional climate change,2017,Global Change Biology,10.1111/gcb.13429
440,Agnihotri et al,Climate change-driven shifts in elevation and ecophysiological traits of himalayan plants during the past century,2017,Current Science,n/a
441,Forsman et al,Faster poleward range shifts in moths with more variable colour patterns,2016,Scientific Reports,10.1038/srep36265
442,Molina-Martinez et al,Changes in butterfly distributions and species assemblages on a neotropical mountain range in response to global warming and anthropogenic land use,2016,Diversity and Distributions,10.1111/ddi.12473
443,Huang et al,Multidirectional abundance shifts among north american birds and the relative influence of multifaceted climate factors,2017,Global Change Biology,10.1111/gcb.13683
444,Chivers et al,Mismatch between marine plankton range movements and the velocity of climate change,2017,Nature Communications,10.1038/ncomms14434
445,Buntgen et al,Elevational range shifts in four mountain ungulate species from the swiss alps,2017,Ecosphere,10.1002/ecs2.1761
446,Sittaro et al,Tree range expansion in eastern north america fails to keep pace with climate warming at northern range limits,2017,Global Change Biology,10.1111/gcb.13622
447,Wen et al,Heterogenous distributional responses to climate warming: evidence from rodents along a subtropical elevational gradient,2017,Bmc Ecology,10.1186/s12898-017-0128-x
448,Biella et al,Distribution patterns of the cold adapted bumblebee bombus alpinus in the alps and hints of an uphill shift (insecta: hymenoptera: apidae),2017,Journal of Insect Conservation,10.1007/s10841-017-9983-1
449,Wright et al,"Upward shift in recruitment of high-elevation tree species in the northern sierra nevada, california",2016,California Fish and Game,n/a
450,DeLuca and King,Montane birds shift downslope despite recent warming in the northern appalachian mountains,2017,Journal of Ornithology,10.1007/s10336-016-1414-7
451,Hernandez et al,Exploring range shifts of contrasting tree species across a bioclimatic transition zone,2017,European Journal of Forest Research,10.1007/s10342-017-1047-2
454,Campos-Cerqueira and Aide,Lowland extirpation of anuran populations on a tropical mountain,2017,PeerJ,10.7717/peerj.4059
455,Campos-Cerqueira et al,Have bird distributions shifted along an elevational gradient on a tropical mountain?,2017,Ecology and Evolution,10.1002/ece3.3520
456,Virkkala and Lehikoinen,Birds on the move in the face of climate change: high species turnover in northern europe,2017,Ecology and Evolution,10.1002/ece3.3328
457,Coals et al,Elevation patterns of plant diversity and recent altitudinal range shifts in sinai's high-mountain flora,2018,Journal of Vegetation Science,10.1111/jvs.12618
458,Kirchman and Keuren,Altitudinal range shifts of birds at the southern periphery of the boreal forest: 40 years of change in the adirondack mountains,2017,The Wilson Journal of Ornithology,10.1676/16-164.1
459,Bhatta et al,Downhill shift of alpine plant assemblages under contemporary climate and land-use changes,2018,Ecosphere,10.1002/ecs2.2084
460,Koide et al,An upward elevation shift of native and non-native vascular plants over 40 years on the island of hawai'i,2017,Journal of Vegetation Science,10.1111/jvs.12549
461,Czortek et al,"Climate change, tourism nd historical grazing influence the distribution of carex lachenalii schkuhr-- a rare arctic-alpine species in the tatra mountains",2018,Science of the Total Environment,10.1016/j.scitotenv.2017.10.001
463,Ottosen et al,Distribution and timing of spawning faroe plateau cod in relation to warming spring temperatures,2018,Fisheries Research,10.1016/j.fishres.2017.10.022
464,Hale et al,Subtidal benthic invertebrates shifting northward along the us atlantic coast,2017,Estuaries and Coasts,10.1007/s12237-017-0236-z
466,Zhang et al,Geographic chacteristics of sable (martes zibellina) distribution over time in northeast china,2017,Ecology and Evolution,10.1002/ece3.2983
467,Urli et al,Inferring shifts in tree species distribution using asymmetric distribution curves: a case study in the iberian mountains,2014,Journal of Vegetation Science,10.1111/jvs.12079
468,Hernandez et al,Assessing changes in species distribution from sequential large scale forest inventories,2014,Annals of Forest Science,10.1007/s13595-013-0308-6
469,Virtanen et al,"Recent vegetation changes at the high-latitude tree line ecotone are controlled by geomorphological disturbance, productivity and diversity",2010,Global Ecology and Biogeography,10.1111/j.1466-8238.2010.00570.x
471,Platts et al,Habitat availability explains variation in climate-driven range shifts across multiple taxonomic groups,2019,Scientific Reports,n/a
473,Marion and Bergerot,Northern range shift may be due to increased competition induced by protection of species rather than to climate change alone,2018,Ecology and Evolution,10.1002/ece3.4348
474,Walther et al,Palms tracking climate change,2007,Global Ecology and Biogeography,10.1111/j.1466-8238.2007.00328.x
475,Lindholm et al,Climate-driven range retraction of an arctic freshwater crustacean,2012,Freshwater Biology,10.1111/fwb.12030
476,Wu,Detection and attribution of the effects of climate change on bat distributions over the last 50 years,2016,Climatic Change,10.1007/s10584-015-1543-7
477,Sun et al,"The common koel eudynamys scolopaceus in northern china, new distributional information, and a brief review of range extensions of cuckoos in china",2018,Ornithological Science,10.2326/osj.17.217
486,Freeman et al,Climate change causes upslope shifts and mountaintop extirpations in a tropical bird community,2018,PNAS,10.1073/pnas.1804224115
488,Enriquez-Urzelai et al,Are amphibians tracking their climatic niches in response to climate warming? A test with iberian amphibians,2019,Climatic Change,10.1007/s10584-019-02422-9
489,Birkett et al,Linking species thermal tolerance to elevational range shifts in upland dung beetles,2018,Ecography,10.1111/ecog.03458
493,Kristin et al,Did the northern range of distribution of two tropical orthopterans (insecta) change recently?,2007,Polish Journal of Ecology,10.1111/ecog.03458
496,Wu,Detecting and attributing the effect of climate change on the changes in the distribution of qinghai-tibet plateau large mammal species over the past 50 years,2015,Mammal Research,10.1007/s13364-015-0235-z
500,McClure et al,Climate change and the decline of a once common bird,2012,Ecology and Evolution,10.1002/ece3.95
504,Roberts et al,Latitudinal range shifts in australian flying-foxes: a re-evaluation,2011,Austral Ecology,10.1111/j.1442-9993.2011.02243.x
506,Diefenbach et al,Evidence for range contraction of snowshoe hare in pennsylvania,2016,Northeastern Naturalist,10.1656/045.023.0205
507,Choi et al,Significant decrease in local butterfly community during the last 15 years in a calcareous hill of the middle korea,2017,Entomological Research,10.1111/1748-5967.12225
510,Biondi et al,Nitrophilous and ruderal species as indicators of climate change. Case study from the italian adriatic coast,2012,Plant Biosystems,10.1080/11263504.2012.672342
516,Guida et al,Assessing historical and future habitat models for four conservation-priority mojave desert species,2019,Journal of Biogeography,10.1111/jbi.13645
517,Kumschick et al,Rapid spread of the wasp spider argiope bruennichi across europe: a consequence of climate change?,2011,Climatic Change,10.1007/s10584-011-0139-0
523,Merker and Chandler,Identifying global hotspots of avian trailing-edge population diversity,2020,Global Ecology and Conservation,10.1016/j.gecco.2020.e00915
526,Cheng et al,Complex elevational shifts in a tropical lowland moth community following a decade of climate change,2019,Diversity and Distributions,10.1111/ddi.12864
527,Warren and Chick,"Upward ant distribution shift corresponds with minimum, not maximum, temperature tolerance",2013,Global Change Biology,10.1111/gcb.12169
530,Wason et al,Tree growth is more sensitive than species distributions to recent changes in climate and acidic deposition in the northeastern united states,2017,Journal of Applied Ecology,10.1111/1365-2664.12899
536,Latham,"Evidence of raccoon, procyon lotor, range extension in northern alberta",2008,Canadian Field-Naturalist,10.22621/cfn.v122i2.581
539,Catling,"Climate warming as an explanation for the recent northward range extension of two dragonflies, pachydiplax longipennis and perithemis tenera, into the ottawa valley, eastern ontario",2016,Canadian Field-Naturalist,10.22621/cfn.v130i2.1846
545,Savage and Vellend,"Elevational shifts, biotic homogenization and time lags in vegetation change during 40 years of climate warming",2015,Ecography,10.1111/ecog.01131
552,Seabrook et al,Drought-driven change in wildlife distribution and numbers: a case study of koalas in south west queensland,2011,Wildlife Research,10.1071/WR11064
562,van Hal et al,How climate warming impacts the distribution and abundance of two small flatfish species in the north sea,2010,Journal of Sea Research,10.1016/j.seares.2009.10.008
564,Erauskin-Extramiana et al,Are shifts in species distribution triggered by climate change? A swordfish case study,2019,Deep Sea Research Part II: Topical Studies in Oceanography,10.1016/j.dsr2.2019.104666
566,Giersch et al,Climate-induced range contraction of a rare alpine aquatic invertebrate,2015,Freshwater Science,10.1086/679490
578,Tiitsaar et al,Distribution of butterflies (lepidoptera : papilionoidea) in estonia: results of a systematic mapping project reveal long-term trends,2019,Annales Zoologici Fennici,10.5735/086.056.0114
582,Delatorre,Implementing new northernmost records to modelling the distribution of hypsiboas caingua (anura: hylidae) in south america,2014,Brazilian Journal of Biology,10.1590/1519-6984.05113
584,Macgregor et al,Climate-induced phenology shifts linked to range expansions in species with multiple reproductive cycles per year,2019,Nature Communications,10.1038/s41467-019-12479-w
587,He et al,Upward elevation and northwest range shifts for alpine meconopsis species in the himalaya-hengduan mountains region,2019,Ecology and Evolution,10.1002/ece3.5034
597,Currie et al,A novel approach to assess distribution trends from fisheries survey data,2019,Fisheries Research,10.1016/j.fishres.2019.02.004
602,Bell et al,"Disentangling the effects of climate, abundance, and size on the distribution of marine fish: an example based on four stocks from the northeast us shelf",2015,Ices Journal of Marine Science,10.1093/icesjms/fsu217
604,Takano et al,Detecting latitudinal and altitudinal expansion of invasive bamboo phyllostachys edulis and phyllostachys bambusoides (poaceae) in japan to project potential habitats under 1.5 degrees c-4.0 degrees c global warming,2017,Ecology and Evolution,10.1002/ece3.3471
605,Orio et al,Spatial contraction of demersal fish populations in a large marine ecosystem,2019,Journal of Biogeography,10.1111/jbi.13510
609,Borges et al,Biogeography of wood-boring crustaceans (isopoda: limnoriidae) established in european coastal waters,2014,Plos One,10.1371/journal.pone.0109593
613,Gibson-Reinemer et al,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain-plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576
614,Potts et al,"Ocean warming, a rapid distributional shift, and the hybridization of a coastal fish species",2014,Global Change Biology,10.1111/gcb.12612
619,Becker-Scarpitta et al,Four decades of plant community change along a continental gradient of warming,2019,Global Change Biology,10.1111/gcb.14568
633,Bruge et al,Thermal niche tracking and future distribution of atlantic mackerel spawning in response to ocean warming,2016,Frontiers In Marine Science,10.3389/fmars.2016.00086
634,Hinder et al,Multi-decadal range changes vs. thermal adaptation for north east atlantic oceanic copepods in the face of climate change,2014,Global Change Biology,10.1111/gcb.12387
640,Pinault and Hunter,New highland distribution records of multiple anopheles species in the ecuadorian andes,2011,Malaria Journal,10.1186/1475-2875-10-236
642,Hildrew et al,Persistence in the longitudinal distribution of lotic insects in a changing climate: a tale of two rivers,2017,Science of the Total Environment,10.1016/j.scitotenv.2016.07.212
643,Orlov et al,"New data on the distribution and size composition of the north pacific spiny dogfish squalus suckleyi (girard, 1854)",2012,Scientia Marina,10.3989/scimar.03439.22C
644,McDonald et al,Using multiple-source occurrence data to identify patterns and drivers of decline in arid-dwelling australian marsupials,2015,Ecography,10.1111/ecog.01212
645,Veale et al,"Characteristics of the ichthyofauna of a temperate microtidal estuary with a reverse salinity gradient, including inter-decadal comparisons",2014,Journal of Fish Biology,10.1111/jfb.12467
646,Nooten and Rehan,Historical changes in bumble bee body size and range shift of declining species,2020,Biodiversity and Conservation,10.1007/s10531-019-01893-7
647,Voller et al,The pace of range expansion: a long-term study on the flightless ground beetle carabus hortensis (coleoptera: carabidae),2018,Journal of Insect Conservation,10.1007/s10841-017-0043-7
650,Chust et al,Earlier migration and distribution changes of albacore in the northeast atlantic,2019,Fisheries Oceanography,10.1111/fog.12427
655,Yang et al,Spatio-temporal distribution pattern of calanus sinicus and its relationship with climate variability in the northern yellow sea,2018,Ices Journal of Marine Science,10.1093/icesjms/fsx149
671,van Keeken et al,Changes in the spatial distribution of north sea plaice (pleuronectes platessa) and implications for fisheries management,2007,Journal of Sea Research,10.1016/j.seares.2006.09.002
683,Kobiv,Response of rare alpine plant species to climate change in the ukrainian carpathians,2017,Folia Geobotanica,10.1007/s12224-016-9270-z
689,Barrows et al,Responding to increased aridity: evidence for range shifts in lizards across a 50-year time span in joshua tree national park,2020,Biological Conservation,10.1016/j.biocon.2020.108667
693,Bani et al,Winners and losers: how the elevational range of breeding birds on alps has varied over the past four decades due to climate and habitat changes,2019,Ecology and Evolution,10.1002/ece3.4838
702,Kanamori et al,Climate change shifts the spawning ground northward and extends the spawning period of chub mackerel in the western north pacific,2019,Marine Ecology Progress Series,10.3354/meps13037
708,Hanberry and Hansen,Latitudinal range shifts of tree species in the united states across multi-decadal time scales,2015,Basic and Applied Ecology,10.1016/j.baae.2015.02.002
710,Tombre et al,"Northward range expansion in spring-staging barnacle geese is a response to climate change and population growth, mediated by individual experience",2019,Global Change Biology,10.1111/gcb.14793
711,Abella et al,Persistence and turnover in desert plant communities during a 37-yr period of land use and climate change,2019,Ecological Monographs,10.1002/ecm.1390
725,Wu et al,Reduced body sizes in climate-impacted borneo moth assemblages are primarily explained by range shifts,2019,Nature Communications,10.1038/s41467-019-12655-y
728,Bartlett et al,"An insect invasion of antarctica: the past, present and future distribution of eretmoptera murphyi (diptera, chironomidae) on signy island",2019,Insect Conservation and Diversity,10.1111/icad.12389
747,Carosi et al,Endemic freshwater fish range shifts related to global climate changes: a long-term study provides some observational evidence for the mediterranean area,2019,Water,10.3390/w11112349
751,Boisvert-Marsh et al,Divergent responses to climate change and disturbance drive recruitment patterns underlying latitudinal shifts of tree species,2019,Journal of Ecology,10.1111/1365-2745.13149
754,Bland and Lace,"On madeira, the success of the speckled wood butterfly (pararge aegeria) has coincided with declining populations of the madeiran speckled wood (pararge xiphia): is the colonist to blame?",2020,Journal of Insect Conservation,10.1007/s10841-019-00209-y
757,Espino et al,"Geographical range extension of the spotfin burrfish, chilomycterus reticulatus (l. 1758), in the canary islands: a response to ocean warming?",2019,Diversity-Basel,10.3390/d11120230
774,Ramo et al,Latitudinal-related variation in wintering population trends of greylag geese (anser anser) along the atlantic flyway: a response to climate change?,2015,Plos One,10.1371/journal.pone.0140181
775,Bodin et al,Shifts of forest species along an elevational gradient in southeast france: climate change or stand maturation?,2013,Journal of Vegetation Science,10.1111/j.1654-1103.2012.01456.x
781,Delgado et al,Concurrent changes in spatial distribution of the demersal community in response to climate variations in the southern iberian coastal large marine ecosystem,2018,Marine Ecology Progress Series,10.3354/meps12791
841,Bustamante et al,Cambios en la diversidad en siete comunidades de anuros en los andes de ecuador,2005,Biotropica,10.1111/j.1744-7429.2005.00025.x
842,Quero et al,Les observations de poissons tropicaux et le rechauffement des eaux dans l’atlantique europeen,1998,Oceanologica Acta,10.1016/S0399-1784(98)80021-2
